frame,reg,value
1439,22,107
1442,22,109
1443,22,111
1444,22,113
1445,22,115
1446,22,117
1449,22,119
1450,22,121
1451,22,123
1452,22,125
1453,22,127
1456,22,129
1457,22,131
1458,22,133
1459,22,135
1460,22,137
1463,22,139
1464,22,141
1465,22,143
1466,22,145
1467,22,147
1470,22,149
1471,22,151
1472,22,153
1473,22,155
1474,22,157
1477,22,159
1478,22,161
1479,22,163
1480,22,165
1481,22,167
1484,22,169
1485,22,171
1486,22,173
1487,22,175
1488,22,177
1491,22,179
1492,22,181
1493,22,183
1494,22,185
1495,22,187
1498,22,189
1499,22,191
